player_name,Converted Name,WRank,hand
Sofia Shapatava,Shapatava S.,23.0,RH
Silvia Njiric,Njiric S.,9.0,RH
Cagla Buyukakcay,Buyukakcay C.,181.0,RH
Anna Tatishvili,Tatishvili A.,47.0,RH
Ysaline Bonaventure,Bonaventure Y.,103.0,LH
Kristie Ahn,Ahn K.,206.0,RH
Rebecca Peterson,Peterson R.,226.0,RH
Patricia Maria Tig,Tig P.,95.0,RH
Ivana Jorovic,Jorovic I.,29.0,RH
Jennifer Brady,Brady J.,116.0,RH
Rogerio Dutra Silva,Silva R.,440.0,RH
Juan Carlos Saez,Saez J.,44.0,RH
Olga Savchuk,Savchuk O.,,RH
Aliaksandra Sasnovich,Sasnovich A.,123.0,RH
Jamie Loeb,Loeb J.,44.0,RH
Marco Trungelliti,Trungelliti M.,162.0,RH
Alexander Sarkissian,Sarkissian A.,47.0,RH
Jan Satral,Satral J.,170.0,RH
Pedro Cachin,Cachin P.,67.0,RH
Karen Khachanov,Khachanov K.,53.0,RH
Yannick Mertens,Mertens Y.,127.0,RH
Inigo Cervantes Huegun,Huegun I.,92.0,RH
Naomi Osaka,Osaka N.,48.0,RH
Nao Hibino,Hibino N.,106.0,RH
Risa Ozaki,Ozaki R.,100.0,RH
Aslan Karatsev,Karatsev A.,27.0,RH
Misa Eguchi,Eguchi M.,79.0,RH
Jose Pereira,Pereira J.,340.0,RH
Yaraslau Shyla,Shyla Y.,58.0,RH
Guido Andreozzi,Andreozzi G.,142.0,RH
Nicolas Kicker,Kicker N.,116.0,RH
Amra Sadikovic,Sadikovic A.,271.0,RH
Facundo Arguello,Arguello F.,143.0,RH
Marcelo Arevalo,Arevalo M.,79.0,RH
Orlando Luz,Luz O.,193.0,RH
Darian King,King D.,140.0,RH
Christian Lindell,Lindell C.,12.0,RH
Yan Bai,Bai Y.,58.0,RH
Quentin Halys,Halys Q.,134.0,RH
Scott Griekspoor,Griekspoor S.,59.0,RH
Yasutaka Uchiyama,Uchiyama Y.,214.0,RH
Jozef Kovalik,Kovalik J.,117.0,RH
Daniel Brands,Brands D.,225.0,RH
Mackenzie Mcdonald,Mcdonald M.,40.0,RH
Taylor Fritz,Fritz T.,114.0,RH
Di Wu,Wu D.,233.0,RH
Jeremy Jahn,Jahn J.,44.0,RH
Uladzimir Ignatik,Ignatik U.,,RH
Maximilian Marterer,Marterer M.,40.0,LH
Fernando Romboli,Romboli F.,143.0,RH
Luke Saville,Saville L.,64.0,RH
Flavio Cipolla,Cipolla F.,143.0,RH
Hugo Dellien,Dellien H.,64.0,RH
Jason Jung,Jung J.,44.0,RH
Jordan Thompson,Thompson J.,79.0,RH
Saketh Myneni,Myneni S.,9.0,RH
Ruben Ramirez Hidalgo,Hidalgo R.,14.0,RH
Tessah Andrianjafitrimo,Andrianjafitrimo T.,63.0,RH
Ana Bogdan,Bogdan A.,115.0,RH
Paula Kania,Kania P.,67.0,RH
Hans Podlipnik Castillo,Castillo H.,64.0,RH
Adrian Ungur,Ungur A.,3.0,RH
Franco Skugor,Skugor F.,344.0,RH
Barbara Haas,Haas B.,162.0,RH
Viktorija Golubic,Golubic V.,59.0,RH
Ernesto Escobedo,Escobedo E.,131.0,RH
Mayo Hibi,Hibi M.,79.0,RH
Dennis Novak,Novak D.,284.0,RH
Noah Rubin,Rubin N.,200.0,RH
Henri Laaksonen,Laaksonen H.,123.0,RH
Gastao Elias,Elias G.,81.0,RH
Hunter Reese,Reese H.,96.0,RH
Yuichi Ito,Ito Y.,58.0,RH
Calvin Hemery,Hemery C.,38.0,RH
Samantha Crawford,Crawford S.,162.0,RH
Elitsa Kostova,Kostova E.,146.0,RH
Egor Gerasimov,Gerasimov E.,347.0,RH
Daniel Evans,Evans D.,67.0,RH
Igor Sijsling,Sijsling I.,29.0,RH
Dario Acosta,Acosta D.,244.0,RH
Andrea Collarini,Collarini A.,271.0,LH
Adrien Bossel,Bossel A.,27.0,LH
Makoto Ochi,Ochi M.,79.0,LH
Ramkumar Ramanathan,Ramanathan R.,222.0,RH
Marco Chiudinelli,Chiudinelli M.,40.0,RH
Maddison Inglis,Inglis M.,79.0,RH
Matthew Barton,Barton M.,198.0,RH
Kimberly Birrell,Birrell K.,76.0,RH
Ruben Gonzales,Gonzales R.,14.0,RH
Michael Mmoh,Mmoh M.,79.0,RH
Sekou Bangoura,Bangoura S.,83.0,RH
Albano Olivetti,Olivetti A.,27.0,RH
Thiago Monteiro,Monteiro T.,84.0,LH
Stefano Napolitano,Napolitano S.,187.0,RH
Agustin Velotti,Velotti A.,27.0,RH
Ilya Ivashka,Ivashka I.,29.0,RH
Daniil Medvedev,Medvedev D.,99.0,RH
Eduardo Struvay,Struvay E.,347.0,RH
Tommy Paul,Paul T.,291.0,RH
Pedja Krstin,Krstin P.,67.0,RH
Kristina Kucova,Kucova K.,80.0,RH
Anastasiya Shoshyna,Shoshyna A.,27.0,RH
Ekaterina Alexandrova,Alexandrova E.,86.0,RH
Grega Zemlja,Zemlja G.,310.0,RH
Basak Eraydin,Eraydin B.,257.0,RH
Reka Luca Jani,Jani R.,105.0,RH
Ayla Aksu,Aksu A.,312.0,RH
Ipek Soylu,Soylu I.,179.0,RH
Julia Boserup,Boserup J.,119.0,RH
Asia Muhammad,Muhammad A.,189.0,RH
Enrique Lopez Perez,Perez E.,14.0,RH
Anna Blinkova,Blinkova A.,189.0,RH
Zdenek Kolar,Kolar Z.,,RH
Constant Lestienne,Lestienne C.,208.0,RH
Susanne Celik,Celik S.,9.0,RH
Marko Tepavac,Tepavac M.,79.0,RH
Salvatore Caruso,Caruso S.,9.0,RH
Jil Teichmann,Teichmann J.,170.0,LH
Barbora Krejcikova,Krejcikova B.,254.0,RH
Fiona Ferro,Ferro F.,168.0,RH
Alessandro Giannessi,Giannessi A.,127.0,LH
Tara Moore,Moore T.,63.0,RH
Brian Baker,Baker B.,166.0,RH
